@processor,Arduino Mega2560,,,,,,,,,
,,,,,,,,,,
,,,,,,9,PE7,CLKO/ICP3/INT7,76,
,,,,,,10,VCC,VCC,77,
,,,,,,11,GND,GND,,
,,,,,,14,PH2,XCK2,,
,,,,,,27,PH7,T4,,
,,,,,,28,PG3,TOSC2,,
,,,,,,29,PG4,TOSC1,,
,,,,,,31,VCC,VCC,,
,,,,,,32,GND,GND,,
,,,,,,33,XTAL2,XTAL2,,
,,,,,,34,XTAL1,XTAL1,,
,,,,,,41,PL6,D43,,
,,,,,,42,PL7,D42,,
,,,,,,47,PD4,ICP1,,
,,,,,,48,PD5,XCK1,,
,,,,,,49,PD6,T1,,
,,,,,,61,VCC,VCC,,
,,,,,,62,GND,GND,,
,,,,,,65,PJ2,XCK3/PCINT11,,
,,,,,,66,PJ3,PCINT12,,
,,,,,,67,PJ4,PCINT13,,
,,,,,,68,PJ5,PCINT14,,
,,,,,,69,PJ6,PCINT 15,,
,,,,,,79,PJ7,,,
,,,,,,80,VCC,VCC,,
,,,,,,81,GND,GND,,
,,,,,,,,,,
,,,,,,99,GND,GND,,
,,,,,,100,AVCC,VCC,,
